Unnamed: 0,review,verified,status
56773,"Great portable charger! Works on almost any phone with a USB charger! I charge my Samsung note 2, ipad mini, nook HD, Kindle HD fire and so much more! This would make a great Christmas present! Highly quality, great charger!",not_verified,Spam
94598,way to small for my nook color,verified,Real
87603,"What an aggrevating piece of garbage!  Got this for my son when he started running because it was less than a Garmin (should have gone on with a good GPS watch). Impossible to calibrate - ruined lots of runs in our attempts to do so. Thought the other negative reviews were whiners and we'd figure it out. This is simply, truly, a poorly performing product. Felt sorry for my son, it was a worthless b-day gift. A most regrettable purchase.",verified,Real
54395,"Great idea to protect the screen, but very tricky to put on and the tabs do not pull off without leaving a sticky residue.",verified,Real
49834,"Works great and easy to install. Cable, connector and strain relief are heavy duty.  Recommended.",verified,Spam
64959,Great product!,verified,Spam
91663,The charger works better than the original that came with my nook...it was a great price and arrived fairly quickly,verified,Spam
19747,"This was one of my first readers, I moved on to the Nook and eventually the Kindle. But I still use this for my text books because i can write notes and questions to remind me to research further.",verified,Real
44941,It looks great. I will submit an additional review after I get an antenna and a program cable. I can't use it without these and didn't realize it didn't come with it.,not_verified,Spam
97320,"Choose this camera if you want a good dashcam with good features and a low price. Truly, this model is a life saver for people who are on a budget and need a dashcam badly.",not_verified,Real
54453,Excellent,verified,Spam
97242,Fast shipping and exactly as advertised!,verified,Spam
54079,"Be aware it only work above the license plate, with the bolt up. Some of these can be taken apart and the whole camera potion inverted to work in other positions. HOWEVER only one of 2 did! Also the camera has an INLINE 12 volt to 3.3 volt regulator, it's fat and may tear off when you're running the cable! LEHenson@msn.com<br /><br />Supplier was great!",verified,Real
59736,"Don't buy these speakers if you plan to use outside.  Although they claim to have a removable, rustproof mesh grill, all 4 of the speakers I purchased rusted in less than 3 months.  When I called the company to ask how to remove the grills so I could try painting them, they told me the mesh grills are glued in.  These speaker grills are neither RUSTPROOF nor removable and they look ugly on my otherwise beautiful deck.",verified,Real
52522,"this e-reader is not as sleek or feature-packed as the best ones on the market, but it works fine for the price<br /><br />the company web site doesn't give enough technical information, for example how long the battery lasts and how long it takes to recharge (it lasts about 2 hours and takes about 4 hours to fully recharge)<br /><br />when calling tech support, hold time can be long but the staff is helpful when they eventually have a chance to help; for problems that tech support cannot solve, the company will replace the unit (post-paid)",verified,Real
30328,"Works great, would buy from again!",verified,Spam
19506,I received this order in good condition.,verified,Real
13894,cheaply made and when i bought mine it said nothing about needing an sd card! I guess i got what i paid for!,verified,Real
9001,"Good product, works great and came with a more &#34;complete&#34; wiring kit than I imagined.  The connectors are even weather proof.  The only downside was the item was marked as prime but was shipped from China and took a couple weeks to arrive.",verified,Spam
96140,Well I was expecting it to be more attractive. But it still is a good buy. I would recommend it if you Like to Stand out.  Only thing that you can't put the loop on with the case.,not_verified,Real
7205,"my daughter choose to use this case for her nook over bulky ones but its a simple case nice color, she does use a heavy duty case to carry nook to school.  Has had used:-)",verified,Real
6543,"You cannot dock your Shuffle with this thing on it, junk, don't waste your money.",verified,Real
80193,"I got this unit to add on to my new nesa brand car entertainment system and it works great. This is a universal unit so it will fit pretty much any &#34;nav ready&#34; system. I saved a ton of $ buying this one instead of the exact same unit with the &#34;nesa&#34; branding on it. It has lots of options, and is really accurate in knowing right where I am at all times. I used to use the gps on my smart phone, but now I will not have to any more.",verified,Real
68976,"I was well please with this product. It is a perfect fit, compact and serves the purpose for which I purchased it for.",verified,Real
50849,"Arrived quickly and works just fine, once fitted with the transmitter from the old remote casing. Definitely worth it to any Volvo S70 owners looking to have a new transmitter case for their car.",verified,Spam
99359,the info says that it is made for the xperia but it barely fits in there when I force it. also the holes for where the plugs go are on the opposite side. the only good thing about it is the key holder,verified,Real
18099,"It is my own fault I did not know it was for I pod, the connection was exactly what I needed for my Samson 49 but myI pad rejected it and rightly so .  so Now I must order one just like that for my I Pad, and my I Pad is not a 6.0",verified,Real
95230,"Very disapointed in Sundown, another American company outsourceing there products to be built in China and charging top dollar. Buy Incriminator Audio!!! The Lethal Injection is a better sub, with a 3\\"" voice coil instead of a 2.5\\"" and it is made in America for about $15 more!!!",not_verified,Real
60697,very good product,not_verified,Real
26103,"It is a pretty good case , but it's not what I was expecting , the plastic on the case at the top has chipped after I dropped it once",not_verified,Real
93910,This is not SONY. WHY U USES SONY NAME BRAND? Looking good but i cant connect it with my PHONE and TABLET. IF I CANT IT WILL BE RETURNED,verified,Real
61001,Amp sounds great and plenty of power for my truck.,verified,Spam
14093,"Very cute case and my daughter loved it! Wish it had a front cover area but it was only a  back cover but in all, very nice design for the girls.",verified,Spam
18430,Item works well it just looked used... That's why I rated it so low...,verified,Real
